,,,"Age/Year class",,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length",,
,,,1971,1970,1969,1968,1967,"(109 )","(103 t)","weight (g)",,,
5.00,"-",5.50,,,,,,,,,5.25,,
5.50,"-",6.00,,,,,,,,,5.75,,
6.00,"-",6.50,2.63,0.00,0.00,0.00,0.00,2.63,1.80,0.70,6.25,,
6.50,"-",7.00,5.12,0.00,0.00,0.00,0.00,5.12,5.10,1.00,6.75,,
7.00,"-",7.50,11.89,0.00,0.00,0.00,0.00,11.89,14.30,1.20,7.25,," "
7.50,"-",8.00,26.62,0.00,0.00,0.00,0.00,26.62,45.30,1.70,7.75,,
8.00,"-",8.50,32.85,0.00,0.00,0.00,0.00,32.85,72.30,2.20,8.25,,
8.50,"-",9.00,31.68,0.00,0.00,0.00,0.00,31.68,95.00,3.00,8.75,,
9.00,"-",9.50,21.67,0.00,0.00,0.00,0.00,21.67,65.00,3.00,9.25,,
9.50,"-",10.00,12.12,0.00,0.00,0.00,0.00,12.12,48.50,4.00,9.75,,
10.00,"-",10.50,6.10,0.00,0.00,0.00,0.00,6.10,23.20,3.80,10.25,,
10.50,"-",11.00,1.74,1.09,0.00,0.00,0.00,2.83,13.10,4.60,10.75,,
11.00,"-",11.50,0.00,2.05,0.00,0.00,0.00,2.05,11.30,5.50,11.25,,
11.50,"-",12.00,0.00,4.42,0.20,0.00,0.00,4.62,29.50,6.40,11.75,,
12.00,"-",12.50,0.00,14.34,0.39,0.00,0.00,14.73,110.50,7.50,12.25,,
12.50,"-",13.00,0.00,31.56,4.66,0.42,0.00,36.64,302.20,8.20,12.75,,
13.00,"-",13.50,0.00,38.81,21.09,0.66,0.00,60.56,568.20,9.40,13.25,,
13.50,"-",14.00,0.00,28.78,34.25,1.73,0.00,64.76,696.30,10.80,13.75,,
14.00,"-",14.50,0.00,11.88,40.83,1.65,0.00,54.36,637.30,11.70,14.25,,
14.50,"-",15.00,0.00,4.62,27.58,2.92,0.00,35.12,467.00,13.30,14.75,,
15.00,"-",15.50,0.00,2.48,17.09,2.35,0.20,22.12,325.30,14.70,15.25,,
15.50,"-",16.00,0.00,0.73,10.22,2.85,0.16,13.96,222.30,15.90,15.75,,
16.00,"-",16.50,0.00,0.38,6.24,3.22,0.46,10.30,193.60,18.80,16.25,,
16.50,"-",17.00,0.00,0.00,3.99,3.35,0.26,7.60,149.20,19.60,16.75,,
17.00,"-",17.50,0.00,0.00,1.95,2.37,0.20,4.52,103.20,22.80,17.25,,
17.50,"-",18.00,0.00,0.00,0.85,0.84,0.27,1.96,44.10,22.50,17.75,,
18.00,"-",18.50,0.00,0.00,0.39,0.64,0.12,1.15,31.30,27.20,18.25,,
18.50,"-",19.00,0.00,0.00,0.00,0.04,0.06,0.10,2.80,27.50,18.75,,
19.00,"-",19.50,0.00,0.00,0.00,0.00,0.22,0.22,6.20,28.00,19.25,,
19.50,"-",20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.75,,
20.00,"-",20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.25,,
20.50,"-",21.00,0.00,0.00,0.00,0.00,0.07,0.07,2.10,30.00,20.75,,
"TSN (109)",,,"152,420","141,140","169,730","23,040","2,020","488,350",,,,,
"TSB (103 t)",,,"378,5","1342,2","2138,5","384,0","43,0",,"4286,2",,,,
"Mean length (cm)",,,8.47,13.23,14.44,15.71,17.15,12.30,,,,,
"Mean weight (g)",,,"2,5","9,5","12,6","16,7","21,3",,,"8,8",,,
"SSN (109 )",,,0.00,"20,090","109,140","20,230","2,020","151,480",,,,,
"SSB (103 t)",,,0.00,"255,6","1528,0","355,6","43,0",,"2182,3",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Mean length imm.",,,8.47,13.01,13.48,13.48,,,,,,,
"Mean weight imm",,,2.48,8.98,10.08,10.08,,,,,,,
"Mean length mat",,,,14.58,14.97,16.01,17.15,"15,1",,,,,
"Mean weight mat",,,,12.73,14.00,17.58,21.31,"14,4",,,,,
