,,,"Age",,,,,,,,,,,,,,"Age/Year class",,,,,,,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length",,,"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ",,,,,,,,,,
,,,1981,1980,1979,1978,1977,"(109 )","(103 t)","weight (g)",,,,,,,1981,1980,1979,1978,1977,"(109 )","(103 t)","weight (g)",,,,,,,,,,
5.00,"-",5.50,11.11,0.00,0.00,0.00,0.00,11.11,4.30,0.40,5.25,0.10,,5.00,"-",5.50,11.11,0.00,0.00,0.00,0.00,11.11,4.44,0.40,"faktor 2 år",48,100,"faktor 3 år","0,9","faktor total","0,55",,,
5.50,"-",6.00,16.17,0.00,0.00,0.00,0.00,16.17,9.50,0.60,5.75,,,5.50,"-",6.00,16.17,0.00,0.00,0.00,0.00,16.17,9.70,0.60,,,,,,,,,,
6.00,"-",6.50,30.16,0.00,0.00,0.00,0.00,30.16,29.20,1.00,6.25,100.00,,6.00,"-",6.50,30.16,0.00,0.00,0.00,0.00,30.16,30.16,1.00,,,,,,,,,,
6.50,"-",7.00,40.68,0.00,0.00,0.00,0.00,40.68,40.50,1.00,6.75,,,6.50,"-",7.00,40.68,0.00,0.00,0.00,0.00,40.68,40.68,1.00,,,,,,,,,,
7.00,"-",7.50,55.98,0.00,0.00,0.00,0.00,55.98,56.10,1.00,7.25,,,7.00,"-",7.50,55.98,0.00,0.00,0.00,0.00,55.98,55.98,1.00,,,,,,,,,,
7.50,"-",8.00,65.35,0.00,0.00,0.00,0.00,65.35,72.30,1.10,7.75,,,7.50,"-",8.00,65.35,0.00,0.00,0.00,0.00,65.35,71.89,1.10,,,,,,,,,,
8.00,"-",8.50,36.03,0.00,0.00,0.00,0.00,36.03,58.20,1.60,8.25,"Justert estimat",,8.00,"-",8.50,36.03,0.00,0.00,0.00,0.00,36.03,57.65,1.60,,,,,,,,,,
8.50,"-",9.00,41.79,0.00,0.00,0.00,0.00,41.79,87.00,2.10,8.75,"beregnet av ",,8.50,"-",9.00,41.79,0.00,0.00,0.00,0.00,41.79,87.76,2.10,,,,,,,,,,
9.00,"-",9.50,52.89,0.69,0.00,0.00,0.00,53.58,147.20,2.70,9.25,"CAPELIN (Sigurd)",,9.00,"-",9.50,52.89,0.33,0.00,0.00,0.00,53.22,143.70,2.70,,0.89,,,,,,0.89,,
9.50,"-",10.00,59.03,1.07,0.00,0.00,0.00,60.10,188.40,3.10,9.75,"F=justert estimat/",,9.50,"-",10.00,59.03,0.51,0.00,0.00,0.00,59.54,184.59,3.10,,1.59,,,,,,1.59,,
10.00,"-",10.50,54.95,4.21,0.00,0.00,0.00,59.16,221.90,3.80,10.25,"opprinnelig estimat",,10.00,"-",10.50,54.95,2.02,0.00,0.00,0.00,56.97,216.49,3.80,,7.68,,,,,,7.68,,
10.50,"-",11.00,36.53,17.77,0.00,0.00,0.00,54.30,239.90,4.40,10.75,,,10.50,"-",11.00,36.53,8.53,0.00,0.00,0.00,45.06,198.26,4.40,,37.53,,,,,,37.53,,
11.00,"-",11.50,15.29,30.61,0.00,0.00,0.00,45.90,243.30,5.30,11.25,"F 2 år = 0.48",,11.00,"-",11.50,15.29,14.69,0.00,0.00,0.00,29.98,158.91,5.30,,77.87,,,,,,77.87,,
11.50,"-",12.00,8.86,47.60,0.00,0.00,0.00,56.46,347.90,6.20,11.75,"F 3 år = 0.90",,11.50,"-",12.00,8.86,22.85,0.00,0.00,0.00,31.71,196.59,6.20,,141.66,,,,,,141.66,,
12.00,"-",12.50,3.15,52.98,0.06,0.00,0.00,56.19,412.00,7.30,12.25,"F 4 år = 1.00",,12.00,"-",12.50,3.15,25.43,0.05,0.00,0.00,28.63,209.03,7.30,,185.64,,,0.39,,,185.64,,0.39
12.50,"-",13.00,0.30,47.59,0.26,0.00,0.00,48.15,405.80,8.40,12.75,"F tot = 0.55",,12.50,"-",13.00,0.30,22.84,0.23,0.00,0.00,23.38,196.37,8.40,,191.88,,,1.97,,,191.88,,1.97
13.00,"-",13.50,0.04,33.55,0.46,0.00,0.00,34.05,338.50,9.90,13.25,,,13.00,"-",13.50,0.04,16.10,0.41,0.00,0.00,16.56,163.92,9.90,,159.43,,,4.10,,,159.43,,4.10
13.50,"-",14.00,0.00,26.31,1.67,0.00,0.00,27.98,318.50,11.40,13.75,,,13.50,"-",14.00,0.00,12.63,1.50,0.00,0.00,14.13,161.10,11.40,,143.97,,,17.13,,,143.97,,17.13
14.00,"-",14.50,0.00,14.18,6.54,0.00,0.00,20.72,272.90,13.20,14.25,35534.00,,14.00,"-",14.50,0.00,6.81,5.89,0.00,0.00,12.69,167.54,13.20,,89.84,,,77.70,,,89.84,,77.70
14.50,"-",15.00,0.00,12.29,6.84,0.03,0.00,19.16,283.00,14.80,14.75,"H.G/B.R.",,14.50,"-",15.00,0.00,5.90,6.16,0.03,0.00,12.09,178.86,14.80,,87.31,,,91.11,,,87.31,,91.11
