,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1972.00,1971.00,1970.00,1969.00,1968.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,7.79,,,,,"7.79","8",1.00,6.75
7.00,"-",7.50,11.13,1.82,0.00,0.00,0.00,12.95,17.50,1.30,7.25
7.50,"-",8.00,11.43,0.00,0.00,0.00,0.00,11.43,19.40,1.70,7.75
8.00,"-",8.50,30.09,1.31,0.00,0.00,0.00,31.40,65.10,2.10,8.25
8.50,"-",9.00,70.67,2.16,0.00,0.00,0.00,72.83,157.90,2.20,8.75
9.00,"-",9.50,118.32,14.38,0.00,0.00,0.00,132.70,376.00,2.80,9.25
9.50,"-",10.00,123.91,34.78,0.00,0.00,0.00,158.69,505.10,3.20,9.75
10.00,"-",10.50,72.85,64.66,0.00,0.00,0.00,137.51,533.30,3.90,10.25
10.50,"-",11.00,45.97,51.58,0.00,0.00,0.00,97.55,450.60,4.60,10.75
11.00,"-",11.50,23.11,49.74,0.00,0.00,0.00,72.85,403.10,5.50,11.25
11.50,"-",12.00,7.26,44.62,0.52,0.00,0.00,52.40,340.40,6.50,11.75
12.00,"-",12.50,2.23,40.40,0.00,0.00,0.00,42.63,319.70,7.50,12.25
12.50,"-",13.00,2.43,23.87,0.40,0.00,0.00,26.70,233.90,8.80,12.75
13.00,"-",13.50,0.69,16.99,1.24,0.00,0.00,18.92,191.20,10.10,13.25
13.50,"-",14.00,0.22,12.57,2.41,0.00,0.00,15.20,174.30,11.50,13.75
14.00,"-",14.50,0.36,6.86,2.96,0.23,0.00,10.41,131.80,12.70,14.25
14.50,"-",15.00,0.00,3.32,5.45,0.42,0.00,9.19,132.30,14.40,14.75
15.00,"-",15.50,0.00,2.49,5.99,1.33,0.00,9.81,158.00,16.10,15.25
15.50,"-",16.00,0.00,2.28,5.16,1.95,0.00,9.39,177.20,18.90,15.75
16.00,"-",16.50,0.00,0.39,5.48,3.46,0.00,9.33,195.70,21.00,16.25
16.50,"-",17.00,0.00,0.36,5.48,2.88,0.05,8.77,208.80,23.80,16.75
17.00,"-",17.50,0.00,0.45,2.85,2.75,0.05,6.10,156.70,25.70,17.25
17.50,"-",18.00,0.00,0.00,1.12,2.42,0.08,3.62,110.40,30.50,17.75
18.00,"-",18.50,0.00,0.00,0.69,1.32,0.00,2.01,64.60,32.20,18.25
18.50,"-",19.00,0.00,0.00,0.00,0.30,0.00,0.30,11.00,36.70,18.75
19.00,"-",19.50,0.00,0.00,0.00,0.03,0.00,0.03,1.10,38.00,19.25
19.50,"-",20.00,0.00,0.00,0.00,0.02,0.00,0.02,1.10,53.00,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,528.46,375.03,39.75,17.11,0.18,960.53,,,
"TSB (103 t)",,,1710.21,2290.12,732.30,408.64,4.92,,5146.18,,
"Mean length (cm)",,,9.56,11.34,15.56,16.72,17.33,10.63,,,
"Mean weight (g)",,,3.24,6.11,18.42,23.88,27.31,,,5.36,
"SSN (109 )",,,0.36,16.15,35.18,17.11,0.18,68.98,,,
"SSB (103 t)",,,4.57,246.43,685.16,408.64,4.92,,1349.72,,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,9.56,11.18,13.30,,,,,,
"Mean weight imm",,,3.23,5.69,10.31,,,,,,
"Mean length mat",,,,14.91,15.85,16.72,17.33,15.84,,,
"Mean weight mat",,,,15.26,19.48,23.88,27.31,19.57,,,
