,,,"Age/Year class",,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length",
,,,1992,1991,1990,1989,1988,"(109 )","(103 t)","weight (g)",,
5.00,"-",5.50,,,,,,,,,5.25,
5.50,"-",6.00,,,,,,,,,5.75,
6.00,"-",6.50,,,,,,,,,6.25,
6.50,"-",7.00,,,,,,,,,6.75,
7.00,"-",7.50,0.05,0.00,0.00,0.00,0.00,0.05,0.10,1.10,7.25,0.10
7.50,"-",8.00,0.09,0.00,0.00,0.00,0.00,0.09,0.10,1.60,7.75,
8.00,"-",8.50,0.08,0.01,0.00,0.00,0.00,0.09,0.20,1.90,8.25,1000.00
8.50,"-",9.00,0.30,0.01,0.00,0.00,0.00,0.32,0.70,2.30,8.75,
9.00,"-",9.50,0.50,0.04,0.00,0.00,0.00,0.54,1.60,2.90,9.25,
9.50,"-",10.00,0.52,0.08,0.00,0.00,0.00,0.60,2.00,3.30,9.75,
10.00,"-",10.50,0.38,0.37,0.00,0.00,0.00,0.74,3.00,4.00,10.25,
10.50,"-",11.00,0.18,0.80,0.00,0.00,0.00,0.99,4.70,4.80,10.75,
11.00,"-",11.50,0.02,2.64,0.00,0.00,0.00,2.66,14.60,5.50,11.25,
11.50,"-",12.00,0.04,5.85,0.04,0.00,0.00,5.93,38.70,6.50,11.75,
12.00,"-",12.50,0.06,10.31,0.32,0.00,0.00,10.69,79.80,7.50,12.25,
12.50,"-",13.00,0.01,11.60,0.75,0.00,0.00,12.36,105.30,8.50,12.75,
13.00,"-",13.50,0.00,10.21,1.36,0.02,0.00,11.59,115.60,10.00,13.25,
13.50,"-",14.00,0.00,5.87,2.58,0.18,0.00,8.63,99.70,11.60,13.75,
14.00,"-",14.50,0.00,3.21,2.82,0.37,0.00,6.40,87.30,13.60,14.25,
14.50,"-",15.00,0.00,1.64,3.75,0.44,0.00,5.82,90.10,15.50,14.75,
15.00,"-",15.50,0.00,0.53,2.63,0.38,0.00,3.54,60.50,17.10,15.25,
15.50,"-",16.00,0.00,0.14,1.40,0.26,0.00,1.80,35.10,19.50,15.75,
16.00,"-",16.50,0.00,0.03,0.99,0.23,0.00,1.25,26.90,21.60,16.25,
16.50,"-",17.00,0.00,0.04,0.52,0.29,0.00,0.84,19.70,23.40,16.75,
17.00,"-",17.50,0.00,0.00,0.07,0.10,0.00,0.17,4.60,26.60,17.25,
17.50,"-",18.00,0.00,0.00,0.07,0.01,0.00,0.08,2.00,27.10,17.75,
18.00,"-",18.50,0.00,0.00,0.00,0.13,0.00,0.13,4.00,32.00,18.25,
18.50,"-",19.00,,,,,,,,,18.75,
19.00,"-",19.50,,,,,,,,,19.25,
19.50,"-",20.00,,,,,,,,,19.75,
20.00,"-",20.50,,,,,,,,,20.25,
20.50,"-",21.00,,,,,,,,,20.75,
"TSN (109)",,,"2,237","53,376","17,273","2,395","0,000","75,281",,,,
"TSB (103 t)",,,"7,5","486,8","258,2","44,2","0,0",,"796,8",,,
"Mean length (cm)",,,"9,61","12,81","14,59","15,46",,"13,21",,,,
"Mean weight (g)",,,"3,4","9,1","14,9","18,5",,,,"10,6",,
"SSN (109 )",,,"0,00","5,584","12,234","2,203",,"20,021",,,,
"SSB (103 t)",,,"0,00","82,3","205,7","42,0",,,"330,1",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Mean length imm.",,,"9,61","12,60","13,36","13,71",,,,,,
"Mean weight imm",,,"3,37","8,46","10,41","11,48",,,,,,
"Mean length mat",,,,"14,56","15,09","15,61",,"15,0",,,,
"Mean weight mat",,,,"14,75","16,82","19,08",,"16,5",,,,
