,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2000,1999,1998,1997,1996,"(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,0.03,,,,,0.03,0.00,0.50,5.25
5.50,"-",6.00,,,,,,0.00,0.00," ",5.75
6.00,"-",6.50,0.30,,,,,0.30,0.30,0.90,6.25
6.50,"-",7.00,1.20,,,,,1.20,1.30,1.10,6.75
7.00,"-",7.50,2.59,,,,,2.59,2.80,1.10,7.25
7.50,"-",8.00,3.76,,,,,3.76,5.00,1.30,7.75
8.00,"-",8.50,5.13,,,,,5.13,9.70,1.90,8.25
8.50,"-",9.00,9.21,,,,,9.21,21.00,2.30,8.75
9.00,"-",9.50,17.35,0.00,,,,17.35,46.10,2.70,9.25
9.50,"-",10.00,23.35,0.04,,,,23.39,74.30,3.20,9.75
10.00,"-",10.50,25.62,0.38,,,,26.00,93.50,3.60,10.25
10.50,"-",11.00,15.01,2.46,,,,17.47,77.20,4.40,10.75
11.00,"-",11.50,7.09,8.04,,,,15.13,80.60,5.30,11.25
11.50,"-",12.00,2.82,24.26,,,,27.07,169.20,6.30,11.75
12.00,"-",12.50,0.09,32.27,0.01,,,32.36,236.90,7.30,12.25
12.50,"-",13.00,0.03,32.59,0.06,,,32.68,266.20,8.10,12.75
13.00,"-",13.50,,28.54,0.05,,,28.59,275.70,9.60,13.25
13.50,"-",14.00,0.02,21.97,0.09,,,22.08,251.30,11.40,13.75
14.00,"-",14.50,,21.22,0.21,0.02,,21.45,282.40,13.20,14.25
14.50,"-",15.00,,17.55,0.37,,,17.92,270.20,15.10,14.75
15.00,"-",15.50,,9.46,2.43,,,11.89,199.00,16.70,15.25
15.50,"-",16.00,,7.90,3.59,0.05,,11.54,223.80,19.40,15.75
16.00,"-",16.50,,4.62,4.48,0.01,,9.10,200.60,22.00,16.25
16.50,"-",17.00,,3.89,6.36,0.01,,10.25,259.60,25.30,16.75
17.00,"-",17.50,,2.32,4.66,0.28,,7.25,213.80,29.50,17.25
17.50,"-",18.00,,1.02,3.17,0.06,,4.25,139.90,32.90,17.75
18.00,"-",18.50,,0.12,3.69,0.20,,4.00,146.80,36.70,18.25
18.50,"-",19.00,,0.04,0.86,0.35,0.06,1.32,54.40,41.30,18.75
19.00,"-",19.50,,0.06,0.46,0.05,,0.57,24.70,43.40,19.25
19.50,"-",20.00,,,0.03,0.03,,0.06,2.90,49.10,19.75
20.00,"-",20.50,,,,0.01,,0.01,0.50,48.00,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"113,587","218,738","30,501","1,062","0,061","363,949",,,
"TSB (103 t)",,,"376,5","2398,7","813,7","37,7","2,5",,"3629,1",,
"Mean length (cm)",,,"9,75","13,39","16,83","18,02","18,75","12,56",,,
"Mean weight (g)",,,"3,3","11,0","26,7","35,5","41,3",,,"10,0",
"SSN (109 )",,,"0,00","68,190","30,291","1,062","0,061","99,605",,,
"SSB (103 t)",,,"0,00","1167,0","811,6","37,7","2,5",,"2018,8",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,75","12,60","13,28",,,,,,
"Mean weight imm",,,"3,31","8,18","9,85",,,,,,
"Mean length mat",,,,"15,14","16,86","18,02","18,75","15,7",,,
"Mean weight mat",,,,"17,11","26,79","35,51","41,30","20,3",,,
