1000,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2002,2001,2000,1999,"1998+","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,4.48,,,,,4.48,4.50,1.00,6.75
7.00,"-",7.50,8.67,,,,,8.67,9.30,1.10,7.25
7.50,"-",8.00,4.98,,,,,4.98,7.50,1.50,7.75
8.00,"-",8.50,14.63,,,,,14.63,28.90,2.00,8.25
8.50,"-",9.00,15.62,,,,,15.62,35.40,2.30,8.75
9.00,"-",9.50,13.09,,,,,13.09,37.10,2.80,9.25
9.50,"-",10.00,9.25,0.01,,,,9.26,29.50,3.20,9.75
10.00,"-",10.50,6.99,,,,,6.99,26.50,3.80,10.25
10.50,"-",11.00,3.24,0.03,,,,3.27,14.90,4.60,10.75
11.00,"-",11.50,1.32,0.26,,,,1.58,7.40,4.70,11.25
11.50,"-",12.00,0.16,0.95,,,,1.12,6.70,6.00,11.75
12.00,"-",12.50,0.02,1.14,,,,1.15,7.90,6.90,12.25
12.50,"-",13.00,,0.90,,,,0.90,7.30,8.10,12.75
13.00,"-",13.50,,1.41,0.10,,,1.51,13.40,8.90,13.25
13.50,"-",14.00,,1.45,0.16,,,1.61,16.70,10.40,13.75
14.00,"-",14.50,,1.43,0.74,,,2.17,26.20,12.10,14.25
14.50,"-",15.00,,1.21,1.44,0.02,,2.67,37.70,14.10,14.75
15.00,"-",15.50,,0.57,1.79,0.05,,2.40,39.30,16.40,15.25
15.50,"-",16.00,,0.18,2.11,0.19,,2.48,45.20,18.20,15.75
16.00,"-",16.50,,0.06,2.17,0.20,,2.43,47.90,19.70,16.25
16.50,"-",17.00,,,1.35,0.26,,1.61,36.20,22.40,16.75
17.00,"-",17.50,,,0.77,0.35,,1.11,27.60,24.90,17.25
17.50,"-",18.00,,,0.33,0.20,,0.53,14.40,27.20,17.75
18.00,"-",18.50,,,0.02,0.10,,0.12,3.60,30.60,18.25
18.50,"-",19.00,,,,0.04,,0.04,1.50,33.60,18.75
19.00,"-",19.50,,,,,,,0.10,37.10,19.25
19.50,"-",20.00,,,,,,,0.00,,19.75
20.00,"-",20.50,,,,,,,0.00,,20.25
20.50,"-",21.00,,,,,,,0.00,,20.75
"TSN (109)",,,"82,444","9,594","10,979","1,399","0,000","104,416",,,
"TSB (103 t)",,,"201,7","98,0","201,3","32,6","0,0",,"533,6",,
"Mean length (cm)",,,"8,78","13,47","15,78","16,90",,"10,05",,,
"Mean weight (g)",,,"2,4","10,2","18,3","23,3",,,,"5,1",
"SSN (109 )",,,"0,00","3,450","10,720","1,399",,"15,569",,,
"SSB (103 t)",,,"0,00","48,2","198,7","32,6",,,"279,6",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"8,78","12,78","13,56",,,,,,
"Mean weight imm",,,"2,45","8,11","9,83",,,,,,
"Mean length mat",,,,"14,70","15,83","16,90",,"15,7",,,
"Mean weight mat",,,,"13,96","18,54","23,34",,"18,0",,,
