"Førebels estimat laga i Kirkenes. Ikkje godkjent av Dima",,,,,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2010.00,2009.00,2008.00,2007.00,"2006-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,6.33,,,,,6.33,6.33,1.00,6.25
6.50,"-",7.00,20.51,,,,,20.51,20.51,1.00,6.75
7.00,"-",7.50,21.12,,,,,21.12,23.24,1.10,7.25
7.50,"-",8.00,22.87,,,,,22.87,32.02,1.40,7.75
8.00,"-",8.50,22.22,0.00,,,,22.22,39.99,1.80,8.25
8.50,"-",9.00,25.95,0.40,,,,26.36,52.71,2.00,8.75
9.00,"-",9.50,27.85,0.28,,,,28.13,70.33,2.50,9.25
9.50,"-",10.00,21.96,1.70,,,,23.66,75.71,3.20,9.75
10.00,"-",10.50,17.79,4.50,,,,22.29,86.93,3.90,10.25
10.50,"-",11.00,14.80,9.55,,,,24.36,109.60,4.50,10.75
11.00,"-",11.50,6.23,16.85,,,,23.08,124.62,5.40,11.25
11.50,"-",12.00,1.53,18.46,,,,19.99,123.93,6.20,11.75
12.00,"-",12.50,0.39,25.94,0.08,,,26.41,192.78,7.30,12.25
12.50,"-",13.00,0.00,25.69,0.60,,,26.30,228.78,8.70,12.75
13.00,"-",13.50,0.00,21.90,0.19,,,22.09,225.29,10.20,13.25
13.50,"-",14.00,0.00,13.83,1.96,,,15.80,180.09,11.40,13.75
14.00,"-",14.50,0.00,15.51,2.01,,,17.52,234.81,13.40,14.25
14.50,"-",15.00,,11.20,6.83,,,18.03,288.50,16.00,14.75
15.00,"-",15.50,,6.77,6.42,0.50,,13.68,246.28,18.00,15.25
15.50,"-",16.00,,4.76,8.14,1.71,,14.62,293.76,20.10,15.75
16.00,"-",16.50,,2.85,9.80,0.47,,13.12,301.74,23.00,16.25
16.50,"-",17.00,,0.27,7.58,0.26,,8.12,201.25,24.80,16.75
17.00,"-",17.50,,0.68,6.92,0.75,,8.35,239.67,28.70,17.25
17.50,"-",18.00,,0.03,3.25,1.42,,4.71,144.06,30.60,17.75
18.00,"-",18.50,,,1.33,2.45,,3.78,139.71,37.00,18.25
18.50,"-",19.00,,,0.22,0.41,,0.63,22.29,35.50,18.75
19.00,"-",19.50,,,,0.01,,0.01,0.41,37.00,19.25
19.50,"-",20.00,,,,0.06,,0.06,2.34,39.00,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,209.56,181.17,55.33,8.05,,454.12,,,
"TSB (103 t)",,,495.95,1764.05,1213.92,233.74,,,3707.66,,
"Mean length (cm)",,,8.71,12.87,16.00,17.22,,11.41,,,
"Mean weight (g)",,,2.37,9.74,21.94,29.05,,,,8.16,
"SSN (109 )",,,0.00,42.07,52.50,8.05,,102.62,,,
"SSB (103 t)",,,0.01,697.25,1183.82,233.74,,,2114.82,,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,8.71,12.25,,,,,,,
"Mean weight imm",,,2.37,7.67,,,,,,,
"Mean length mat",,,14.25,14.92,16.14,17.22,,15.72,,,
"Mean weight mat",,,13.40,16.57,22.55,29.05,,20.61,,,
