Beam-5.2,,,,,,,,,,,
Length (cm),,,1,2,3,4,5+,Sum ,Biomass ,Mean ,Mean length
,,,2013,2012,2011,2010,2009-,(109 ),(103 t),weight (g),(cm)
5.0,-,5.5,,,,,,,,,5.25
5.5,-,6.0,,,,,,,,,5.75
6.0,-,6.5,,,,,,,,,6.25
6.5,-,7.0,0.486,0,0,0,0.0,0.486,0.340,0.7,6.75
7.0,-,7.5,4.655,0,0,0,0.0,4.655,4.655,1.0,7.25
7.5,-,8.0,9.225,0,0,0,0.0,9.225,10.148,1.1,7.75
8.0,-,8.5,7.575,0.503,0,0,0.0,8.078,11.309,1.4,8.25
8.5,-,9.0,9.533,0,0,0,0.0,9.533,19.066,2.0,8.75
9.0,-,9.5,11.729,0,0,0,0.0,11.729,28.150,2.4,9.25
9.5,-,10.0,15.154,0.448,0,0,0.0,15.602,45.246,2.9,9.75
10.0,-,10.5,15.827,0.668,0,0,0.0,16.495,56.083,3.4,10.25
10.5,-,11.0,16.242,1.533,0,0,0.0,17.775,71.100,4.0,10.75
11.0,-,11.5,8.49,4.832,0,0,0.0,13.322,62.613,4.7,11.25
11.5,-,12.0,2.951,10.349,0.165,0,0.0,13.465,75.404,5.6,11.75
12.0,-,12.5,1.883,13.922,0.098,0,0.0,15.903,101.779,6.4,12.25
12.5,-,13.0,0.572,16.284,0.369,0,0.0,17.225,127.465,7.4,12.75
13.0,-,13.5,0.4,16.437,1.366,0,0.0,18.203,154.726,8.5,13.25
13.5,-,14.0,0.258,15.073,1.82,0,0.0,17.151,166.365,9.7,13.75
14.0,-,14.5,0.087,9.215,3.455,0,0.0,12.757,141.603,11.1,14.25
14.5,-,15.0,0,6.906,3.974,0.157,0.0,11.037,137.963,12.5,14.75
15.0,-,15.5,0,4.872,6.848,0.092,0.0,11.812,171.274,14.5,15.25
15.5,-,16.0,0.084,1.898,5.135,0.316,0.0,7.433,119.671,16.1,15.75
16.0,-,16.5,0,1.765,7.294,0.264,0.0,9.323,170.611,18.3,16.25
16.5,-,17.0,0,0.97,3.521,0.501,0.0,4.992,102.835,20.6,16.75
17.0,-,17.5,0,0.224,3.056,0.3,0.0,3.580,83.772,23.4,17.25
17.5,-,18.0,0,0.446,1.366,0.143,0.0,1.955,51.612,26.4,17.75
18.0,-,18.5,0,0.204,0.712,0.117,0.0,1.033,29.131,28.2,18.25
18.5,-,19.0,0,0.039,0.095,0.067,0.0,0.201,6.010,29.9,18.75
19.0,-,19.5,0,0.001,0.008,0.002,0.0,0.011,0.336,30.5,19.25
19.5,-,20.0,0,0,0.004,0,0.0,0.004,0.146,36.5,19.75
20.0,-,20.5,,,,,,,,,20.25
20.5,-,21.0,,,,,,,,,
TSN (109),,,105.151,106.589,39.286,1.959,0.000,252.985,,,
TSB (103 t),,,316.6,952.7,640.4,39.7,0.0,,1949.4,,
Mean length (cm),,,9.70,13.22,15.62,16.60,,12.16,,,
Mean weight (g),,,3.01,8.94,16.30,20.26,,,,7.7,
SSN (109 ),,,0.171,26.540,35.468,1.959,0.000,64.138,,,
SSB (103 t),,,2.3,366.1,606.9,39.7,0.0,,1015.0,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,9.69,12.63,13.35,#DIV/0!,#DIV/0!,11.0,,,
Mean weight imm,,,2.99,7.33,8.79,#DIV/0!,#DIV/0!,4.9,,,
Mean length mat,,,14.99,15.02,15.86,16.60,#DIV/0!,15.5,,,
Mean weight mat,,,13.56,13.79,17.11,20.26,#DIV/0!,15.8,,,
