Beam-5.2,,,,,,,,,,,
Length (cm),,,1,2,3,4,5+,Sum ,Biomass ,Mean ,Mean
,,,2014,2013,2012,2011,2010-,(109 ),(103 t),weight (g),length (cm)
5.0,-,5.5,,,,,,,,,5.25
5.5,-,6.0,,,,,,,,,5.75
6.0,-,6.5,,,,,,,,,6.25
6.5,-,7.0,1.01,,,,,1.01,1.01,1.0,6.75
7.0,-,7.5,1.17,,,,,1.17,1.17,1.0,7.25
7.5,-,8.0,1.28,,,,,1.28,2.44,1.9,7.75
8.0,-,8.5,1.39,,,,,1.39,2.77,2.0,8.25
8.5,-,9.0,1.68,,,,,1.68,4.21,2.5,8.75
9.0,-,9.5,2.58,,,,,2.58,7.23,2.8,9.25
9.5,-,10.0,4.15,,,,,4.15,14.12,3.4,9.75
10.0,-,10.5,6.89,0.20,,,,7.09,28.35,4.0,10.25
10.5,-,11.0,8.48,0.22,,,,8.70,40.01,4.6,10.75
11.0,-,11.5,5.45,1.44,,,,6.88,36.48,5.3,11.25
11.5,-,12.0,1.60,2.70,0.02,,,4.32,26.76,6.2,11.75
12.0,-,12.5,0.34,4.52,0.31,,,5.18,37.78,7.3,12.25
12.5,-,13.0,0.20,4.98,0.02,,,5.20,44.22,8.5,12.75
13.0,-,13.5,0.12,6.27,0.62,,,7.02,68.79,9.8,13.25
13.5,-,14.0,0.01,6.32,1.01,,,7.33,81.39,11.1,13.75
14.0,-,14.5,0.00,5.38,1.97,0.17,,7.52,95.53,12.7,14.25
14.5,-,15.0,0.00,2.94,2.12,0.44,,5.50,81.41,14.8,14.75
15.0,-,15.5,,1.63,2.36,1.03,,5.02,82.81,16.5,15.25
15.5,-,16.0,,1.14,2.01,0.86,,4.00,75.66,18.9,15.75
16.0,-,16.5,,0.44,1.20,0.78,0.01,2.43,55.25,22.7,16.25
16.5,-,17.0,,0.05,0.66,0.58,0.02,1.29,32.84,25.4,16.75
17.0,-,17.5,,0.00,0.17,0.38,0.05,0.61,17.23,28.2,17.25
17.5,-,18.0,,,0.03,0.11,,0.14,4.31,31.0,17.75
18.0,-,18.5,,,0.00,0.01,0.01,0.02,0.63,35.0,18.25
18.5,-,19.0,,,0.00,,,0.00,0.03,34.0,18.75
19.0,-,19.5,,,,,,,,,19.25
19.5,-,20.0,,,,,,,,,19.75
20.0,-,20.5,,,,,,,,,20.25
20.5,-,21.0,,,,,,,,,
TSN (109),,,36.35,38.23,12.51,4.34,0.09,91.52,,,
TSB (103 t),,,143.81,404.61,203.25,88.37,2.39,,842.42,,
Mean length (cm),,,10.07,13.39,14.99,15.88,17.21,12.41,,,
Mean weight (g),,,3.96,10.59,16.24,20.36,28.12,,,9.21,
SSN (109 ),,,0.00,11.58,10.53,4.34,0.09,26.54,,,
SSB (103 t),,,0.06,171.52,183.38,88.37,2.39,,445.71,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,10.07,12.80,13.33,#DIV/0!,#DIV/0!,11.3,,,
Mean weight imm,,,3.96,8.75,10.03,#DIV/0!,#DIV/0!,6.1,,,
Mean length mat,,,14.50,14.75,15.31,15.88,17.21,15.2,,,
Mean weight mat,,,13.75,14.81,17.41,20.36,28.12,16.8,,,
