StoX,,,,,,,,,,,
Length (cm),,,1,2,3,4,5+,Sum ,Biomass ,Mean ,Mean length
,,,2015,2014,2013,2012,2011-,(109 ),(103 t),weight (g),(cm)
5.0,-,5.5,,,,,,,,,5.25
5.5,-,6.0,,,,,,,,,5.75
6.0,-,6.5,,,,,,,,,6.25
6.5,-,7.0,,,,,,,,,6.75
7.0,-,7.5,,,,,,,,,7.25
7.5,-,8.0,2.753,,,,,2.753,4.405,1.60,7.75
8.0,-,8.5,2.247,,,,,2.247,3.820,1.70,8.25
8.5,-,9.0,3.005,,,,,3.005,6.010,2.00,8.75
9.0,-,9.5,3.501,,,,,3.501,9.103,2.60,9.25
9.5,-,10.0,5.956,,,,,5.956,17.868,3.00,9.75
10.0,-,10.5,3.129,,,,,3.129,11.264,3.60,10.25
10.5,-,11.0,1.915,,,,,1.915,8.235,4.30,10.75
11.0,-,11.5,1.968,,,,,1.968,10.234,5.20,11.25
11.5,-,12.0,1.978,0.076,,,,2.054,12.735,6.20,11.75
12.0,-,12.5,3.032,0.218,,,,3.250,23.725,7.30,12.25
12.5,-,13.0,1.191,0.272,,,,1.463,12.143,8.30,12.75
13.0,-,13.5,0.682,0.773,,,,1.455,13.968,9.60,13.25
13.5,-,14.0,0.248,0.975,0.011,,,1.234,13.451,10.90,13.75
14.0,-,14.5,0.022,1.383,0.064,,,1.469,19.978,13.60,14.25
14.5,-,15.0,0.016,1.169,0.158,,,1.343,20.817,15.50,14.75
15.0,-,15.5,0.007,1.353,0.120,0.059,,1.539,27.086,17.60,15.25
15.5,-,16.0,,0.841,0.562,,,1.403,29.042,20.70,15.75
16.0,-,16.5,,0.675,0.626,0.068,,1.369,30.803,22.50,16.25
16.5,-,17.0,,0.171,0.420,0.004,,0.595,15.232,25.60,16.75
17.0,-,17.5,,0.146,0.612,0.009,,0.767,22.780,29.70,17.25
17.5,-,18.0,,0.005,0.232,0.025,,0.262,8.463,32.30,17.75
18.0,-,18.5,,,0.132,,,0.132,4.884,37.00,18.25
18.5,-,19.0,,0.007,0.042,,,0.049,1.823,37.20,18.75
19.0,-,19.5,,,0.008,,,0.008,0.354,44.30,19.25
19.5,-,20.0,,,,,,0.000,0.000,,19.75
20.0,-,20.5,,,,,,0.000,0.000,,20.25
20.5,-,21.0,,,,,,,,,
TSN (109),,,31.650,8.064,2.987,0.165,,42.866,,,
TSB (103 t),,,125.1,124.8,74.5,3.7,,,328.2,,
Mean length (cm),,,10.11,14.64,16.51,16.19,,11.43,,,
Mean weight (g),,,3.95,15.48,24.94,22.70,,,,7.7,
SSN (109 ),,,0.045,5.750,2.976,0.165,,8.936,,,
SSB (103 t),,,0.7,102.5,74.4,3.7,,,181.3,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,10.11,13.26,13.75,#DIV/0!,#DIV/0!,10.3,,,
Mean weight imm,,,3.94,9.67,10.90,#DIV/0!,#DIV/0!,4.3,,,
Mean length mat,,,14.58,15.20,16.52,16.19,#DIV/0!,15.7,,,
Mean weight mat,,,14.90,17.82,24.99,22.70,#DIV/0!,20.3,,,
