,,,Age group / year class,,,,,Sum,Biomass,"Mean,",Mean
Length (cm),,,1,2,3,4,5,-109,(103 t),weight (g), length (cm)
,,,-2015,-2014,-2013,-2012,,,,,
5,-,5.5,,,,,,,,,5.25
5.5,-,6,,,,,,,,,5.75
6,-,6.5,,,,,,,,,6.25
6.5,-,7,,,,,,,,,6.75
7,-,7.5,0.253,0,0,0,,0.253,0.00,1.0,7.25
7.5,-,8,0.410,0,0,0,,0.410,0.67,1.6,7.75
8,-,8.5,1.327,0,0,0,,1.327,2.26,1.7,8.25
8.5,-,9,5.646,0,0,0,,5.646,13.04,2.3,8.75
9,-,9.5,13.332,0,0,0,,13.332,36.80,2.8,9.25
9.5,-,10,14.841,0,0,0,,14.841,46.75,3.2,9.75
10,-,10.5,16.392,0.565,0,0,,16.957,62.91,3.7,10.25
10.5,-,11,11.707,0.651,0,0,,12.358,54.50,4.4,10.75
11,-,11.5,10.004,1.239,0,0,,11.243,56.89,5.1,11.25
11.5,-,12,4.079,2.790,0,0,,6.869,41.42,6.0,11.75
12,-,12.5,3.105,6.808,0,0,,9.913,71.28,7.2,12.25
12.5,-,13,1.613,10.864,0,0,,12.476,103.43,8.3,12.75
13,-,13.5,1.414,14.585,0.018,0,,16.017,151.52,9.5,13.25
13.5,-,14,0.435,12.575,0.123,0.001,,13.133,141.57,10.8,13.75
14,-,14.5,1.020,15.045,0.339,0,,16.404,202.75,12.4,14.25
14.5,-,15,0.343,14.520,0.154,0,,15.016,215.63,14.4,14.75
15,-,15.5,0.180,14.339,0.596,0,,15.116,247.19,16.3,15.25
15.5,-,16,0.224,12.442,1.877,0,,14.543,268.46,18.5,15.75
16,-,16.5,0.077,8.318,2.648,0.082,,11.125,234.33,21.1,16.25
16.5,-,17,0,4.115,2.718,0.094,,6.927,160.13,23.4,16.75
17,-,17.5,0,3.077,3.460,0.010,,6.547,174.59,26.7,17.25
17.5,-,18,0,1.031,1.835,0.055,,2.921,84.92,29.4,17.75
18,-,18.5,0,0.618,1.819,0.015,,2.451,79.36,32.6,18.25
18.5,-,19,0,0.099,0.927,0.111,,1.137,35.49,34.6,18.75
19,-,19.5,0,0.058,0.206,0.038,,0.302,10.18,38.6,19.25
19.5,-,20,0,0,0.049,0.000,,0.049,1.94,39.4,19.75
20,-,20.5,,,,,,,,,20.25
20.5,-,21,,,,,,,,,20.75
TSN (109) ,,,86.403,123.738,16.769,0.165,,227.323,,,
TSB (103 t) ,,,369.7,1708.1,417.4,11.1,,,2506.37,,
Mean length (cm),,,10.15,14.14,16.69,17.39,,,,,
Mean weight (g),,,4.28,13.8,24.89,27.27,,11.03,,11.00640122,
SSN (109 ),,,1.844,73.661,16.628,0.405,,92.538,,,
SSB (103 t),,,26.23,1267.63,417.63,11.6,,,1723.09,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,10.11,13.26,13.75,#DIV/0!,#DIV/0!,10.3,,,
Mean weight imm,,,3.94,9.67,10.9,#DIV/0!,#DIV/0!,4.3,,,
Mean length mat,,,14.58,15.2,16.52,16.19,#DIV/0!,15.7,,,
Mean weight mat,,,14.9,17.82,24.99,22.7,#DIV/0!,20.3,,,
