Length (cm),,,,,,,,,,,Mean length
,,,,,,,,,,,
,,,Age 1,Age 2,Age 3,Age 4,,N (thousand),BM (thousand tons),Mean weight (g),
5,-,5.5,,,,,,,,,5.25
5.5,-,6,,,,,,,,,5.75
6,-,6.5,,,,,,,,,6.25
6.5,-,7,,,,,,,,,6.75
7,-,7.5,,,,,,,,,7.25
7.5,-,8,,,,,,,,,7.75
8,-,8.5,,,,,,,,,8.25
8.5,-,9,4.868714,,,,,4.868714,1.27496,2.62,8.75
9,-,9.5,4.731105,,,,,4.731105,14.3318,3.03,9.25
9.5,-,10,5.054591,,,,,5.113925,18.2052,3.56,9.75
10,-,10.5,6.69779,0.059335,,,,6.702879,27.8469,4.15,10.25
10.5,-,11,6.67223,0.00509,,,,6.678898,32.8049,4.91,10.75
11,-,11.5,11.32362,0.006668,,,,11.554949,64.6457,5.59,11.25
11.5,-,12,7.0888,0.231329,0.054269,,,7.640817,49.5526,6.49,11.75
12,-,12.5,4.011028,0.497748,,,,6.64204,49.951,7.52,12.25
12.5,-,13,1.510587,2.631012,0.102516,,,5.52741,48.8872,8.84,12.75
13,-,13.5,0.716067,3.914306,0.485916,,,9.916602,102.1946,10.31,13.25
13.5,-,14,0.325175,8.714619,0.265964,,,9.251621,107.9541,11.67,13.75
14,-,14.5,0.249916,8.660483,1.992403,,,12.807023,168.8349,13.18,14.25
14.5,-,15,0.014709,10.564703,1.880142,,,12.078759,183.3295,15.18,14.75
15,-,15.5,,10.183908,3.090835,,,9.780296,169.3417,17.31,15.25
15.5,-,16,,6.689461,3.258373,,,6.69262,129.7384,19.39,15.75
16,-,16.5,,3.434247,2.469591,0.065943,,5.00168,110.5214,22.1,16.25
16.5,-,17,,2.466146,2.026583,0.054046,,2.60415,65.6506,25.21,16.75
17,-,17.5,,0.523521,2.116927,0.049178,,2.939418,84.9872,28.91,17.25
17.5,-,18,,0.773313,1.516593,0.051258,,1.720657,57.1991,33.24,17.75
18,-,18.5,,0.149174,0.881069,0.08236,,1.028314,35.5455,34.57,18.25
18.5,-,19,,0.064885,0.938961,0.004828,,0.97548,35.7874,36.69,18.75
19,-,19.5,,0.031691,0.136725,0.007558,,0.144283,6.5595,45.46,19.25
19.5,-,20,,,0.175583,0.000719,,0.176302,8.1419,46.18,19.75
20,-,20.5,,,,,,,,,20.25
20.5,-,21,,,,,,,,,20.75
TSN (109),,,58.603021,59.601641,21.39245,0.003633,,139.600745,,,
TSB (103 t),,,285.039,821.8956,480.3489,0.1096,,,1596.9378,,
Mean length (cm),,,10.28,14,15.83,17.5,,,,,
Mean weight (g),,,4.86,13.79,22.45,30.16,,,,11.4,
SSN (109 ),,,0.264625,34.881049,20.483785,0.31589,,55.948982,,,
SSB (103 t),,,3.5171755,574.6397591,467.9956387,9.34650648,,,1055.6371,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,10.11,13.26,13.75,#DIV/0!,#DIV/0!,10.3,,,
Mean weight imm,,,3.94,9.67,10.9,#DIV/0!,#DIV/0!,4.3,,,
Mean length mat,,,14.58,15.2,16.52,16.19,#DIV/0!,15.7,,,
Mean weight mat,,,14.9,17.82,24.99,22.7,#DIV/0!,20.3,,,
